,band_key,cover,member_count,name
0,AAAnc4j8pwnYQCwlshwdYMNl,http://band.phinf.campmobile.net/20130925_235/1380080948603cd4SX_JPEG/m2_739ibwbcdcbrirvam47gqmjg8g2pny0frs5blps0cf8k6ecw_9003965569727109742.jpg,42,(HSC)_뎅구르르
1,AAClvPXDCm_y4GF6IByhH3AP,http://coresos.phinf.naver.net/a_2f8ghf_j/ia2Ud01015dp6jts0fsku_1hxsjj.jpg,1082,[삼성탈레스]          비상대책위원회
2,AAAgq40eX1MqWAC8A1qMMd3b,http://coresos.phinf.naver.net/a/2hijh7_f/950Ud015l3xuu51nxeb4_8p5e7s.jpg,159,FLIR
3,AADrsCoBc_JUKBs3fsKLunfK,http://coresos.phinf.naver.net/a/2ih085/9_76hUd018admdnw8lvweeent_1lardh.jpg,5,hotdog
4,AADBTABLsxMJsShxW64Yut1s,http://coresos.phinf.naver.net/a/2eghie_6/6a9Ud009bdn6c1k27u6o_6rgeaj.jpg,2,secrete 1급 비취인가자용
5,AAA4fzAp8EL8I1akcitcEpuI,http://coresos.phinf.naver.net/a/2ih085/9_56hUd018admc9m81w89sh0q_46at47.jpg,6,광전자 동기들
6,AABhFTqnOd2i3PE3Z2LANWvE,http://coresos.phinf.naver.net/a/2ih0ig/c_66hUd018adm1navyv0dt5kcw_rfd0k2.jpg,119,근로위 전자광학/지휘통제팀
7,AACczzFnL-BQ1oofGw2nBFlb,http://coresos.phinf.naver.net/a/2ih002/9_c6hUd018admha8cxdkclio5_530flq.png,20,능인고등학교 (2003년 졸업) 밴드
8,AAAnADys7mnCSItPtxoG_Kvd,http://coresos.phinf.naver.net/a/2gh24g_d/9ajUd015qfr393pip9m_uux9wl.jpg,7,대구르르
9,AAA9bL4o7tHygfl5egM5RWSx,http://coresos.phinf.naver.net/a/2ih09b/9_a6hUd018admpdtxgretn1mx_dgpu0y.png,30,대구용지초등학교 (1997년 졸업) 밴드
10,AAD4PiizhYtkmonxtiozJrjW,http://coresos.phinf.naver.net/a/2jf0ci/3_5gjUd018svc4hzvf0xecpeb_k1z5gj.jpg,7420,더투자
11,AAAWe1RswwXdBkQMvsIWGxwd,http://coresos.phinf.naver.net/a/32a6g8/h_776Ud018svcsv3mte9m0013_h1bwah.jpg,981,모던볼링-ModernBowling-
12,AABaUC_XgxRRzg7Sslt71-L5,http://coresos.phinf.naver.net/a/2ih0c2/9_16hUd018adm1lbg3r0ke1aar_dgprnn.jpg,31,반도체03
13,AADO0Z6e7pHlZFbQlYcH0ExZ,http://coresos.phinf.naver.net/a/2ih0i0/9_56hUd018adm8agxjempgl8b_kdlq29.jpg,12,백's뮤지컬아카데미
14,AABlhcJljvEvbQEIWpeFe34d,http://coresos.phinf.naver.net/a/2ih03i/8_76hUd018admup8qwjsu7ehk_tx22l9.jpg,10,연평도를 기억하는 사람들
15,AAAbZefMUq2IEcQ1Ieb3rc-G,http://coresos.phinf.naver.net/a/2j94j6/a_bd9Ud018svcb9kkdvvgjvhe_43eyjs.jpg,56,추세선을보라! 믿어라 벌것이다.
16,AAAnGkOKw1YguG24BXgRMSMk,http://coresos.phinf.naver.net/a/30fac1/3_52fUd018svclzm5czbwz02w_smy5ex.jpg,4777,해봄부동산아카데미
17,AADziunhoziXCCVrxQpHMFGD,http://band.phinf.campmobile.net/20120821_294/m2_2k3p58kbuk8dp12th6flqwpwa1js2ap5xts9e7l_1345517489191cvqK3_JPEG/m2_2k3p58kbuk8dp12th6flqwpwa1js2ap5xts9e7l_5227142790232850010.jpg,9,해양항공소파트
